Tamanho,Crescente,Decrescente,Aleatorio
10000,0.000000,0.155067,0.075133
20000,0.000000,0.509867,0.259967
30000,0.000000,0.933567,0.469767
40000,0.000533,1.636733,0.819467
50000,0.000067,2.576733,1.288967
60000,0.000067,3.954967,1.964100
70000,0.000133,5.379067,2.673767
80000,0.000067,6.996767,3.495100
90000,0.000000,8.866967,4.424967
100000,0.000200,10.947467,5.458700
110000,0.000567,13.218833,6.613267
120000,0.000067,15.468567,8.744633
130000,0.001333,18.103100,9.026700
140000,0.000033,21.464100,10.718367
150000,0.000767,24.412133,12.241567
160000,0.000467,27.674733,13.859067
170000,0.000267,31.244733,15.715533
180000,0.000767,35.198933,17.576067
190000,0.000300,39.133467,19.584833
200000,0.000100,42.605833,21.282300
